OBJECTID;LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
219249;11;3;3701658;2021;11;18;2;3;0;3;2;0;1;0;1;0;0;1;800202,0742;5829640,204;13,42689483;52,53393955
219248;11;7;7501134;2021;12;19;7;3;6;2;2;0;1;1;0;0;0;1;798479,5317;5819049,219;13,39209027;52,43995086
219247;11;4;4100101;2021;12;17;4;3;5;2;2;0;1;0;0;0;0;0;793352,6128;5829680,195;13,32624193;52,53802784
219246;11;4;4501041;2021;12;15;7;3;5;2;1;0;1;0;1;0;0;1;792950,0395;5825362,081;13,31652064;52,49953417
219243;11;11;11501339;2021;12;9;5;3;3;6;0;0;1;0;0;0;1;2;807182,01;5825602,793;13,52575163;52,49386714
219241;11;1;1100308;2021;12;22;5;3;1;5;2;0;1;0;0;0;0;1;796605,7279;5829088,391;13,37353829;52,53096213
219240;11;10;10200524;2021;12;5;1;3;1;5;2;0;1;0;0;0;0;2;812275,3654;5830609,751;13,60523023;52,53584537
219239;11;7;7200409;2021;12;20;7;2;5;7;2;0;1;0;0;0;0;2;795262,58;5824374,901;13,34961395;52,48943851
219238;11;1;1300733;2021;11;22;3;3;2;6;2;0;1;0;0;0;0;1;797163,3962;5831385,088;13,38378941;52,55124558
219237;11;2;2200208;2021;12;7;2;3;6;4;2;0;1;1;0;0;0;0;797529,4622;5824997,119;13,38345801;52,49378526
219235;11;11;11100204;2021;12;19;3;3;2;2;2;0;1;0;0;0;0;1;805955,9268;5833701,602;13,51520192;52,56713943
219233;11;7;7100205;2021;12;13;7;3;3;6;0;0;1;0;1;0;0;1;796467,22;5824883,082;13,36775616;52,49334102
219230;11;7;7200307;2021;12;10;3;3;6;7;0;0;0;1;0;0;1;0;794935,9206;5824544,661;13,34496711;52,49113688
219229;11;7;7100101;2021;12;19;4;3;6;2;2;0;1;1;0;0;0;0;794592,1948;5825505,265;13,34076867;52,49993372
219228;11;1;1100205;2021;12;19;4;3;5;7;2;0;1;0;0;0;0;0;796971,936;5826718,537;13,37680527;52,50951959
219226;11;7;7300516;2021;12;18;5;3;6;7;2;0;0;1;0;0;1;0;793975,8208;5821706,891;13,3283651;52,46621546
219225;11;6;6400841;2021;12;7;5;3;6;2;2;0;1;1;0;0;0;0;789616,5637;5818717,717;13,26178321;52,4417447
219223;11;6;6400839;2021;11;15;2;3;5;3;1;0;1;0;0;0;1;1;788237,3736;5818274,027;13,24116591;52,43849547
219221;11;4;4500939;2021;12;18;4;3;5;2;1;1;1;0;0;0;0;0;792439,7595;5824095,448;13,30791309;52,48845278
219220;11;9;9100306;2021;12;21;4;2;8;1;2;0;1;0;0;0;0;0;803124,462;5820953,915;13,4619448;52,454468
219219;11;7;7300619;2021;12;17;2;3;5;2;2;0;1;0;1;0;0;1;794980,7954;5822325,17;13,34366241;52,47121631
219217;11;4;4501042;2021;12;17;7;3;6;4;2;0;0;1;0;0;1;0;793999,8532;5826182,642;13,33266585;52,5063255
219216;11;1;1100102;2021;11;18;3;3;0;6;2;0;1;0;1;0;0;1;795066,8666;5827221,642;13,3492624;52,51506335
219215;11;9;9200715;2021;12;11;2;2;6;2;0;0;1;1;0;0;0;0;809320,9583;5818504,317;13,55057965;52,42904384
219214;11;1;1100102;2021;12;9;2;3;0;5;0;1;1;0;0;0;0;1;796973,1702;5826579,744;13,37669957;52,50827479
219213;11;3;3500934;2021;12;18;2;3;6;4;2;0;1;1;0;0;0;1;800861,7599;5831744,251;13,4384967;52,5524347
219211;11;8;8100105;2021;12;19;4;3;2;6;2;0;1;0;0;0;0;0;800969,046;5822243,603;13,43148363;52,46721899
219209;11;11;11400929;2021;12;13;5;3;5;3;0;0;1;0;0;0;0;1;805144,5837;5827041,31;13,4971528;52,50790264
219207;11;8;8300934;2021;12;18;5;3;5;2;2;0;1;0;0;0;1;1;802872,1491;5818247,365;13,45578997;52,43034887
219206;11;10;10400835;2021;12;16;2;2;6;4;2;0;1;1;0;0;0;1;811853,9804;5829751,936;13,59823297;52,52839961
219205;11;12;12601134;2021;12;15;2;3;0;7;1;0;1;0;0;0;1;0;795072,5596;5837284,016;13,35829309;52,60526073
219204;11;12;12200308;2021;12;14;5;3;5;3;0;0;1;0;0;0;0;0;792810,085;5833870,557;13,32196238;52,57588428
219203;11;2;2300417;2021;12;13;3;3;3;6;0;0;1;0;0;0;1;0;800722,271;5825637,564;13,43092335;52,49777612
219201;11;5;5200629;2021;12;10;5;3;0;3;0;0;1;0;1;0;0;0;784466,2997;5828739,713;13,19477295;52,53430707
219200;11;5;5200629;2021;12;11;6;3;5;2;0;0;1;0;0;0;0;0;784452,915;5828671,699;13,19451794;52,53370424
219198;11;1;1200522;2021;12;8;6;3;2;6;0;0;1;0;0;0;0;2;793730,713;5828121,725;13,33042363;52,52385335
219195;11;4;4501153;2021;12;17;2;3;6;4;2;0;1;1;0;0;0;0;794184,6225;5823924,224;13,3333858;52,48598039
219194;11;6;6300524;2021;12;9;3;2;1;5;0;0;1;0;0;0;0;0;788276,492;5817552,956;13,24111798;52,43200998
219193;11;5;5100209;2021;12;18;4;3;5;2;2;1;1;0;0;0;0;0;783320,2118;5830271,905;13,17922829;52,54864203
219192;11;12;12500930;2021;12;21;2;3;5;3;2;0;1;0;0;0;0;1;793947,0866;5835309,195;13,33996856;52,58816769
219190;11;1;1100310;2021;12;12;6;3;1;5;0;1;1;0;0;0;0;0;799021,6282;5828725,878;13,40872126;52,52639286
219189;11;3;3601451;2021;12;17;5;2;5;3;2;1;1;0;0;0;0;0;801364,4615;5829700,555;13,44403463;52,53383903
219188;11;7;7300516;2021;12;18;3;3;5;2;2;1;1;0;0;0;0;0;793996,52;5821562,277;13,32854151;52,46490792
219186;11;6;6200311;2021;12;7;4;3;2;6;2;0;1;0;0;0;0;1;795778,4558;5818171,79;13,35169293;52,43355284
219185;11;8;8200832;2021;12;18;6;3;5;2;2;0;1;0;1;0;0;0;801616,9395;5817424,937;13,43664219;52,42367063
219183;11;8;8100102;2021;12;17;7;3;2;1;2;0;1;0;0;0;0;2;800498,2262;5823504,97;13,42571004;52,4787843
219180;11;5;5100316;2021;12;16;3;3;0;1;2;1;0;0;0;0;0;0;784841,5142;5829023,437;13,20053294;52,53665496
219179;11;9;9501940;2021;12;8;4;3;1;1;1;0;1;0;0;0;0;1;811736,4895;5821611,547;13,58889101;52,45551823
219178;11;9;9300920;2021;12;17;3;3;6;4;2;0;1;1;0;0;0;0;808563,9402;5817462,519;13,53851982;52,42013462
219177;11;6;6100102;2021;12;14;6;3;2;6;0;0;1;0;0;0;0;0;793625,5291;5820608,089;13,32225692;52,45655345
219175;11;3;3501038;2021;12;14;5;2;6;4;0;1;0;1;0;0;0;0;803615,0186;5832300,029;13,47948842;52,55588825
219174;11;1;1300836;2021;12;16;1;3;2;6;2;0;1;0;0;0;0;1;796843,9981;5830310,166;13,37813184;52,54178429
219172;11;1;1401046;2021;11;20;3;2;6;2;2;0;0;1;0;0;1;1;794633,3388;5829886,316;13,34525341;52,53918465
219170;11;8;8100208;2021;12;11;3;3;6;2;0;0;1;1;0;0;0;2;801643,043;5822555,927;13,4416576;52,46964673
219169;11;11;11200512;2021;12;16;2;3;5;3;1;1;1;0;0;0;0;1;804119,9972;5831901,379;13,4865488;52,5520336
219168;11;2;2100106;2021;12;11;1;3;2;6;0;0;1;0;0;0;0;0;799824,7533;5825702,858;13,41780063;52,49885518
219167;11;11;11501340;2021;12;12;5;3;1;5;0;1;1;0;0;0;0;0;807478,4507;5825672,24;13,5301684;52,49432263
219166;11;8;8100521;2021;12;0;3;3;3;6;2;0;1;0;0;1;0;1;802117,7878;5822036,586;13,44815509;52,46472947
219164;11;12;12500929;2021;12;13;7;3;0;7;0;0;1;0;0;0;1;1;794060,3812;5838160,831;13,344169;52,6136691
219163;11;6;6200422;2021;11;15;3;3;5;3;0;1;1;0;0;0;0;1;794732,0667;5816291,921;13,33468927;52,41726546
219162;11;10;10100208;2021;12;5;2;3;6;2;2;0;1;1;0;0;0;1;808512,8496;5832430,605;13,5516257;52,5543062
219161;11;2;2300417;2021;12;16;2;3;6;4;2;0;1;1;0;0;0;1;800598,0532;5825202,629;13,42870657;52,49394608
219159;11;1;1100103;2021;12;15;3;3;2;1;0;0;1;0;0;0;0;1;795181,1899;5825903,644;13,34977341;52,50318662
219157;11;6;6300527;2021;12;23;5;3;1;6;2;0;1;0;0;0;0;1;790141,1196;5817517,451;13,26843715;52,43070585
219154;11;6;6300525;2021;12;11;2;2;2;6;0;0;1;0;0;0;0;1;788895,0757;5816149,104;13,2489789;52,41909731
219153;11;1;1100207;2021;12;22;3;2;5;3;2;0;1;0;1;0;0;1;797902,2139;5826578,639;13,39034694;52,50775837
219152;11;8;8100415;2021;12;7;4;2;6;2;2;0;1;1;0;0;0;1;802031,5917;5823469,903;13,44818781;52,47762415
219151;11;9;9200716;2021;12;18;2;3;2;6;2;1;1;0;0;0;0;0;808926,2858;5819367,187;13,54559048;52,43699986
219149;11;9;9100407;2021;12;7;5;3;1;5;1;0;1;0;0;0;1;1;804749,9737;5821630,333;13,48641003;52,45962671
219148;11;1;1300835;2021;12;15;5;3;0;2;0;1;0;0;0;0;1;0;797543,7486;5829414,747;13,3876178;52,53337631
219146;11;10;10100103;2021;12;8;6;3;5;3;0;0;1;0;0;0;0;2;809126,4824;5833832,585;13,56195362;52,56652227
219143;11;1;1100310;2021;12;19;3;3;5;2;2;0;1;0;0;0;0;0;799244,9213;5828468,799;13,41177151;52,52396602
219142;11;11;11300620;2021;12;8;5;3;5;7;1;0;1;0;0;0;1;0;803671,0124;5829503,973;13,47775586;52,53079698
219141;11;8;8100521;2021;12;6;2;3;5;2;2;0;1;0;0;0;0;1;803663,712;5822281,351;13,47106376;52,46606634
219140;11;2;2100101;2021;12;9;4;3;6;2;0;0;1;1;0;0;0;0;797386,183;5826168,983;13,38240017;52,5043678
219139;11;9;9100306;2021;12;14;2;3;2;6;0;0;1;0;0;0;1;1;803847,2501;5820991,857;13,47258349;52,45440678
219137;11;6;6300528;2021;12;14;5;3;6;4;0;0;1;1;0;0;0;0;790149,6988;5815444,686;13,26676539;52,41211822
219136;11;12;12200412;2021;12;11;7;3;6;2;0;0;1;1;0;0;0;0;790957,8978;5833786,623;13,29463366;52,57612526
219134;11;1;1100207;2021;11;19;2;3;2;6;1;0;1;0;0;0;0;1;798348,2208;5827454,837;13,39768443;52,51536861
219133;11;11;11400930;2021;12;18;1;3;5;2;2;0;1;0;0;0;0;1;806140,8415;5826705,681;13,51147743;52,50433651
219132;11;8;8401241;2021;12;19;4;3;5;3;2;0;1;0;0;0;1;1;804526,5821;5819220,605;13,48093551;52,43815343
219130;11;11;11400929;2021;12;8;6;2;2;2;1;1;0;0;0;0;1;1;805129,6881;5826182,817;13,4961473;52,50021673
219129;11;11;11300722;2021;12;16;2;3;6;4;2;0;1;1;0;0;0;1;804293,6493;5828442,061;13,48593464;52,5209323
219128;11;1;1100308;2021;12;14;6;3;2;6;0;1;1;0;0;0;0;0;797562,0466;5828652,282;13,38720431;52,52653176
219125;11;11;11300620;2021;12;18;6;3;6;2;2;0;1;1;0;0;0;1;803705,0007;5829526,437;13,47827589;52,53097938
219124;11;2;2200210;2021;12;1;7;3;5;3;2;0;1;0;0;0;0;1;798947,1888;5825237,234;13,40449375;52,49516294
219123;11;1;1300732;2021;12;22;7;3;2;6;2;0;1;0;0;0;1;0;797230,3653;5832070,156;13,38538757;52,55734983
219122;11;11;11300722;2021;11;9;3;3;5;7;0;0;1;0;0;0;1;1;803266,3822;5828618,931;13,47100199;52,52308982
219121;11;11;11400928;2021;12;16;2;3;6;7;2;1;0;1;0;0;0;0;804255,7715;5826157,396;13,48328963;52,50047683
219120;11;1;1200623;2021;12;9;1;3;6;4;0;0;0;1;0;0;1;2;795024,1206;5829152,012;13,35034674;52,53239077
219118;11;11;11300721;2021;11;7;3;2;3;6;2;0;0;0;1;0;1;1;805784,7688;5830099,77;13,50936762;52,53495511
219116;11;10;10300733;2021;12;10;3;3;2;7;0;0;0;0;0;0;1;0;808485,1952;5826954,188;13,54613779;52,50524328
219115;11;3;3200308;2021;12;12;1;2;0;7;0;0;1;0;0;0;0;1;798932,485;5837489,748;13,41530801;52,60499612
219114;11;1;1400938;2021;12;20;5;3;8;1;2;0;1;0;0;0;0;2;793706,122;5830574,885;13,33223014;52,54585781
219111;11;12;12601133;2021;12;17;6;3;0;4;2;0;0;1;0;0;1;1;794959,9668;5836488,833;13,35592679;52,59819378
219110;11;3;3601245;2021;12;16;6;3;5;2;1;1;1;0;0;0;0;0;800753,0166;5831294,661;13,43649048;52,54846501
219109;11;9;9501939;2021;12;13;7;3;6;4;0;0;1;1;0;0;0;0;810720,1155;5821696,833;13,57406078;52,45686124
219108;11;4;4100102;2021;12;18;4;2;5;2;2;0;1;0;0;0;0;0;791428,0143;5829180,568;13,29750767;52,53458142
219107;11;4;4200310;2021;12;14;2;3;6;7;0;0;1;1;0;0;0;0;789739,3243;5826425,442;13,27028079;52,51078164